ID,News_Title,News_Text,Label
64,SC annuls lifetime disqualification verdict against Khawaja Asif,Pakistans Supreme Court overturned an order disqualifying PMLN leader and former Foreign Minister Khawaja Asif from holding public office for life A threemember bench headed by Justice Umar Ata Bandial announced the verdict in the appeal,Real
65,Imran declared successful Khawaja Asif retains following vote recount,Imran Khan has been declared wining candidate from NA131 after recounting of 2835 rejected votes PMLN leader Khawaja Asif retained his NA73 Sialkot 2 seat as retabulation of votes in different constituencies continued for a second day,Real
66,Nawaz Sharifs defender should be ashamed Fawad Chaudhry,Information Minister Chaudhry said Nawaz Sharifs sons are disobedient as they didnt even come to the country to defend their father He said that Nawaz failed to give money trail to the parliament or before the court of law,Real
67,LHC rejects Sheikh Rashids plea upholds ECP decision to defer NA60 poll,The Lahore High Court has rejected Sheikh Rashids petition against the postponement of the election in NA60 RawalpindiIV,Real
68,PTI workers resent award of party ticket to Sheikh Rashids nephew,Sheikh Shafique nephew of Sheikh Rashid has been awarded a party ticket for the NA60 byelection,Real
69,Another PMLN candidate bites the dust,Hanif Abbasi a PMLN candidate for NA60 Rawalpindi has been convicted and sentenced to life in a case related to misuse of controlled chemical ephedrine His brother Basit was acquitted Maryam Nawaz the daughter of Nawaz Sharif and Danyal Aziz have been disqualified from contesting polls,Real
70,Supreme Court rules in Sheikh Rashids favour in misdeclaration of assets case,The Supreme Court has rejected Malik Shakeel Awans election petition against Sheikh Ahmed Rashid Sheikh Rashid has filed nomination papers for NA60 and NA62,Real
71,Railways ministry faces a Rs3740 billion deficit Sheikh Rashid Ahmed,Railways Minister Sheikh Rashid Ahmed has told the media that his ministry is facing a huge debt of up to Rs3740 billion He wants to build a straight track from Kalowal to Jhelum and reduce the travelling time between Rawalpindi and Lahore,Real
72,Sheikh Rashid accused of manhandling elderly woman damaging cameramans phone,The newly appointed Railways Minister Sheikh Rashid allegedly assaulted an elderly woman and damaged the phone of Channel 24 cameraman Rashid has denied the allegations,Real
73,Controversy erupts over information portfolio Chaudhry offers to step down in Rashids favour,Fawad Chaudhry offered to give up his position in favour of Sheikh Rashid Rashid refused to take over the information ministry,Real
74,PTI AML at odds over NA60 candidate,The Pakistan TehreekeInsaf PTI won the Rawalpindi election in NA60,Real
75,PM reconstitutes ECC led by Finance Minister Asad Umar,Finance Minister Asad Umar will lead the economic decisionmaking body of the cabinet Bringing back money sent abroad is Asads top priority,Real
76,Court hands life sentence to PMLNs Hanif Abbasi in ephedrine quota case,PMLN leader Hanif Abbasi has been sentenced to life imprisonment for selling 500kg of ephedrine to narcotics smugglers,Real
77,New KarachiPindi trains within a month Rashid,A new train like Green Line will be started within a month,Real
78,Cost of railways project under CPEC cut by $2bn minister,The cost of Pakistan Railways projects under the ChinaPakistan Economic Corridor CPEC has been brought down,Real
79,Rashid announces plan to fill 10000 vacancies in railways,Karachi is the hub of business and it is the need of the hour to make a subheadquarters of the PR there to facilitate traders and businessman said Minister for Railways Sheikh Rashid Ahmed at a news conference at the railways headquarters here on Saturday,Real
80,Senior officer refuses to work under Rashid,A senior officer of Pakistan Railways has refused to work under Sheikh Rashid Ahmad,Real
81,Railways to increase fares from next week in wake of rupee depreciation says Sheikh Rashid,Pakistan Railways will increase the fares of its popular destinations from next week in response to the rising exchange rate of the dollar There will be a 2 to 3 per cent increase in the fare of economy class The minister said the Main Line1 project will be signed between Pakistan and China on December 25 Nala Leh Expressway will be decided in the next few days,Real
82,PPP becomes only party to field female candidate in NA62 Rawalpindi,PPP worker Sumera Gull is the only woman contesting the NA62 constituency,Real
83,CJP dispels impression of running someones poll campaign,The Supreme Court has ordered the authorities concerned to complete a hospital project in Rawalpindi within twoandahalf years,Real
84,PTI secures lead of four million votes over PMLN,The Election Commission of Pakistan ECP released the results of the National Assembly election The PTI has secured more votes than PMLN The Pakistan Peoples Party PPP remains the third largest political party The Muttahida MajlisiAmal MMA an alliance of politicoreligious parties secured million votes from across the country The TLP a new entrant in electoral politics secured 219 million votes,Real
85,President Alvi to inaugurate local express train service for Karachi on Oct 31,Pakistan Railways is launching a new express train service in Sindh,Real
86,I didnt recommend Usman Buzdars name for Punjab CM says Tareen,Pakistan tehreekeInsaf leader Jahangir Tareen has said he did not recommend Usman Buzdars name for the post of Punjab chief minister The PTI leader said that he was disheartened after his review petition against his disqualification was rejected by the Supreme Court,Real
87,Usman Buzdar in hot water after shocking revelations,PTI nominee Usman Buzdar was accused of murder case against him in 1998 The newlyelected PTI leader paid diyat blood money worth Rs75 million to reach compromise with the victims heirs,Real
88,Two costly vehicles go missing from Ishaq Dars house,The National Accountability Bureau NAB has sought the help of the Excise Department Two vehicles are missing from the house of Ishaq Dar at Gulberg III Earlier the NAB seized the bank accounts and properties of former finance minister Ishaqu Dar,Real
89,SC orders to remove Ishaq Dar from chairmanship of UHS board,Ishaq Dar was reelected as chairman of the BoG of the University of Health Sciences in December 2015 for a threeyear term The varsity remained without a regular vice chancellor for more than 18 months following the retirement of Prof Mohammad Aslam,Real
90,Diplomatic passports of Ishaq Dar his wife cancelled,Ishaq Dars Pakistani usual passport was included in the black list After the cancellation of the passport Dar will not be able to travel to any country,Real
91,CJP orders govt to take measures to bring back Ishaq Dar in 10 days,Chief Justice Mian Saqib Nisar ordered the government to ensure former finance minister Ishaq Dars return to Pakistan within 10 days A threemember bench of the Supreme Court resumed hearing the case pertaining to a summons issued to Dar,Real
92,Ishaq Dar placed in blacklists blocked passport,Ishaq Dars name was placed in the blacklist on the request of the NAB and his passport was also blocked,Real
93,Ishaq Dar assets caseWitness Ishtiaq records his statement,Former finance minister Ishaq Dar has been in London since October last year on account of his medical treatment He has been declared an absconder in the corruption case against him The Supreme Court heard a case related to assets reference against Dar,Real
94,Red warrants issued for Ishaq Dar SC informed,A red warrants for former finance minister Ishaq Dar have been issued for his return to Pakistan A threemember bench headed by Chief Justice of Pakistan Justice Mian Saqib Nisar heard the case The hearing of the case pertaining to Dars return was adjourned for two weeks,Real
95,NAB decides to arrest Ishaq Dar through Interpol in assets reference,NAB has written a letter to Interior Ministry to issue red warrants for Ishaq Dar Important documents including perpetual warrants have been attached with the letter Interior Ministry has returned the application after terming it incomplete,Real
96,ECP suspends Ishaq Dars senatorship on SC order,Ishaq Dar was elected senator on March 9 2018 On May 8 the Supreme Court had suspended his senatorship on a temporary basis He has since been declared a proclaimed offender in the corruption case filed against him,Real
97,NAB to bring back Hassan Hussain Nawaz & Ishaq Dar through Interpol,The National Accountability Bureau has decided to bring back former prime minister Nawaz Sharifs son Hassan and Hussain and Ishaq Dar Sources said Ali Imran soninlaw of Shehbaz Sharif will also be brought back through the Interpol,Real
98,Verdict allowing Ishaq Dar to contest Senate polls challenged in SC,The petition was filed by Pakistan Peoples Party PPP leader Nawabzada Nawazish Ali Peerzada challenging the Lahore High Courts decision The LHC had rejected a plea seeking to cancel candidacy of former finance minister Ishaq Dar for Senate elections,Real
99,PPP to challenge eligibility of Senator Ishaq Dar,PPP leader Saleem Mandviwala said Ishaq Dar opened an account in the National Bank He accused National Bank president SaeedAhmad for helping Dar open an account,Real
100,IHC dismisses Ishaq Dars plea challenging AC decision declaring him fugitive,Ishaq Dar had challenged the accountability courts verdict of declaring him proclaimed offender Dar will now be arrested through Interpol says judge Justice Justice Miangul Hasan Aurangzeb,Real
101,Chaudhry Shujaat Hussain appears before NAB in assets case,Chaudhry Pervaiz Elahi exchief minister of Punjab decided against appearing before the NAB officials The duo are facing the charges of misusing their authorities framed against them back in 2000 The brothers were involved in Rs2428 billion,Real
102,JAVED HASHMI STEPS ASIDE FROM ELECTION RACE,Hashmi didnt figure in the list of candidates who have been awarded tickets by the former governing party He rejoined the PMLN and reposed trust in the leadership of former premier Nawaz Sharif in May this year,Real
103,Pakistani exPM Nawaz Sharif banned from leading his party,Nawaz Sharif was ordered to step down as PM last year amid corruption allegations that he denies The court ruled that his earlier dismissal from office made him ineligible to lead the PMLN All decisions taken by Mr Sharif while head of the party were declared void,Real
104,PMLN Govt Destroys Agriculture Textile Sector Bilawal,The PPP chairman said that the PMLN government has destroyed the sector of agriculture and textile Bilawal Bhutto said that southern Punjab has always sided with the PPP,Real
105,Niazi Promotes Negative Culture of Deceit in Politics Shehbaz,People are not interested in negative politics but in national development Shehbaz Sharif said,Real
106,Shehbaz Orders JIT To Probe Imran Alis 37 Bank Accounts,The Supreme Court ordered the JIT to investigate the Zainab Amin murder case thoroughly and submit report within two days,Real
107,Shehbaz Vows If Bribe Proves Will Leave Politics,Chief Minister Punjab Shehbaz Sharif said he would leave politics if bribe proved He said he had promised to end darkness caused death of energy in the leadership of Nawaz Sharif The PMLN government has generated thousands of megawatt electricity that lighten the country again,Real
108,PTI Govt Can Be Toppled If Zardari Allows Bilawal Claims,PPP Chairman Bilawal BhuttoZardari claims the party can dislodge the ruling Pakistan TehreekiInsaf PTI The PPP leader was talking to media after paying a visit to the resident of slain politician Ali Raza Abidi,Real
109,PTI Govt Will Not Compromise On Accountability PM Imran,Prime Minister Imran Khan has said he has directed his party to agree with every demand of the opposition except a compromise on accountability He was addressing at the special ceremony in Lahore today to highlight the performance of PTIs Punjab Government in first 100 days,Real
110,PPP Concerns Over JIT Members Meeting Withï¿½PM Advisorï¿½,Sherry Rehman said that revenge politics is being played in the cover of accountability Senator Raza Rabbani has expressed concerns over efforts being made to dysfunction the Parliament,Real
111,Govt To Recover Looted Wealth From Dar Fawad,Federal Information Minister Fawad Chaudhry said Ishaq Dar will return and the money he looted will be recovered He claimed that the politics of former prime minister Nawaz Sharif and former president Asif Ali Zardari has come to an end,Real
112,FM Appreciates Intl Recognition of Paks Peace Efforts,Foreign Minister Shah Mahmood Qureshi has welcomed international recognition of Pakistans commitment to peace and stability in Afghanistan Earlier Premier Imran Khan highlighted the part Pakistan is playing in the USTaliban negotiations amidst the ongoing talks between US and Afghan Taliban,Real
113,Ilahi Calls Sarwar Takes Him Confidence Regarding Video,Punjab Governor says Punjab Chief Minister Usman Buzdar has complete power and is exercising vision of Imran Khan Speaker Punjab Assembly also called Chaudhry Sarwar and took him in the confidence regarding the video,Real
114,Govt To Launch Poverty Alleviation Program Soon PM,Prime Minister Imran Khan said the government will soon launch a comprehensive poverty alleviation program Khan said that shelter home will provide three time free food to poor people,Real
115,Prime Minister Imran Khan vows to transform Pakistan into an Islamic welfare state through allencompassing reforms in different spheres of life He made this commitment during his maiden address to the nation tonight,Prime Minister Imran Khan vowed to transform Pakistan into a welfare state He pledged to cut spending and launch austerity measures that affect the welfare of the nation,Real
116,No child age between 58 out of school in Punjab in 2018 Rana Mashood,Punjab Minister for Education Rana Mashood Ahmad Khan announced that no child of age 58 in Punjab province would be out of school in 2018 He reiterated his governments commitment to the provision of quality and modern education to the students by utilizing all available resources in the public sector schools of the province,Real
117,Sindh education minister enrolls daughter in public school,Sindh Education Minister Syed Sardar Ali Shah enrolled daughter KaifulWara and nieces Umeza and Aliza Admission forms of the three girls were personally submitted by the minister at the office of the principal Meeran school,Real
118,Govt launches new curriculum and textbooks for Islamabad,Prime Minister Shahid Khaqan Abbasi launched the 100/100/100 educational programme He said the Islamabad Capital Territory will serve as a model for other provinces to raise their standards of education,Real
119,Political candidates sign charter of demand for quality education in Badin,Several politicians from various political parties gathered at a political convention to discuss the state of education in Badin district The convention aimed to analyse fiveyear education plans of contesting candidates and work out reasonable solutions to ensure quality education in government schools,Real
120,Jawad Ahmad vows to empower middle class by standing up to statusquo,Singer and Barabari Party Chairman Jawad Ahmad says he aims to fight the status quo by giving voice to the middle class He is contesting todays general elections from three constituencies against mainstream political leaders Shehbaz Sharif Imran Khan and Bilawal Bhutto Zardari,Real
121,Taleem do vote lo ? Tharis to support candidates who prioritise education,Thar residents on Saturday demonstrated against disloyal political hopefuls from the region They wrote messages on blackboards saying taleem do vote lo Give education take vote vowing to support only those who prioritise education,Real
122,SC to focus on health and education in 2018,Chief Justice of Pakistan CJP Mian Saqib Nisar said the Supreme Court will focus on health and education throughout 2018 The chief justice also said the natural beauty of Chakwals Katas Raj Temple has been ruined due to neglect,Real
123,Second tribal woman to contest general election,Ali Begum was born to a welleducated Bangash family in Parachinar valley in early 1960s Her father an employee in the Education Department still faced backlash from extended family when he sent his daughters to a government high school,Real
124,NA46 Kurram contest Ali Begum vows to promote peace & unity,Ali Begum is contesting the general election for NA46 as an independent aspirant She is the first woman candidate in Kurram tribal district who is running her campaign like her male counterparts She said her election campaign was in full swing as she didnt face any hurdle,Real
125,Go on Ali Begum we are with you Support rings out in Kurram for NA46s only female candidate,Ali Begum 69 is running for Upper Kurrams NA46 seat as an independent candidate She is up against 23 male contenders in the remote conservative patriarchal and maledominated area Begum is the first woman in the area who joined the civil service and served at key positions across the country,Real
126,Governor Convenes KP Assembly Session on August 13,The governor Khyber Pakhtunkhwa has summoned the provincial assembly session on August 13 The newly elected member provincial assembly will take oath as the speaker and deputy speaker will also be elected The present speaker assembly Asad Qaisar will administrate the oath from the newly elected speaker,Real
127,ECP To Scrutinize Successful Candidates Election Expenses,The political wing of the ECP will complete the process within 90 days The information will be considered authentic if the investigation would not finish in the given time The limit of expenses for National Assembly is Rs4 million while that of provincial assembly is Rs2 million,Real
128,PMLN Other Parties To Stage Protest Outside ECP Today ï¿½,Pakistan Muslim LeagueNawaz Pakistan Peoples Party Muttahida MajliseAmal and other political parties will stage a protest outside Election Commission of Pakistan ECP office in Islamabad today,Real
129,Khattak Dispels Impression of Any Grouping in Party,Pakistan TehreekeInsaf PTI leader Pervez Khattak has dispelled the impression of any grouping or differences in the party He said the party leaders will accept every decision of PTI Chief Imran Khan,Real
130,Imran Promises WideRagging Reforms Crush Corruption,Imran Khan said that the victory came after the hard struggle of 22 years and numerous sacrifices He hailed the Balochistan people for casting their votes despite bloody blasts and dangerous situation He vowed that he would make the state institutions strong and independent,Real
131,FOREIGN MINISTER QURESHI CALLS ON HIS UAE COUNTERPART,Shah Mahmood Qureshi is in United Arab Emirates UAE on a twoday visit where he is representing Pakistan in 9th Sir Bani Yas Forum The forum will have wide participation from foreign ministers of various countries where issues related to Middle East will be discussed,Real
132,CANADIAN FM LAUDS AASIA BIBI CASE RULING IN PHONE CALL WITH QURESHI,Chrystia Freeland telephoned her Pakistani counterpart Shah Mehmood Qureshi to discuss various issues Supreme Courts verdict of acquitting Aasia Bibi a Christian woman of blasphemy charge was discussed,Real
133,PAKISTAN CHINA ARE IRON BROTHERS SAYS FM QURESHI,Foreign Minister Shah Mehmood Qureshi recognized the relation between Pakistan and China as iron brothers in the wake of a successful visit of Pakistani delegation to its allwhether ally country,Real
134,QURESHI ZARIF DISCUSS MATTERS OF BILATERAL INTERESTS,Foreign Minister of Iran Mohammad Javad Zarif called on his Pakistani counterpart Shah Mehmood Qureshi Both dignitaries discussed matters related to mutual interests between Pakistan and Iran,Real
135,WINNING CANDIDATE AGAINST SHAH MAHMOOD FROM PP217 DISQUALIFIED,Muhammad Salman who won against Pakistan TehreekeInsafs Shah Mahmood Qureshi on PP217 seat from Multan was declared disqualified on Monday The Election Commission of Pakistan ECP announced the decision in favor of a petition challenging the eligibility of Muhammad Salman,Real
